6.3,-24.9,-17.5,Subcortical_Cerebellum
7.5,-34.2,-37.3,Subcortical_Cerebellum
-5.4,29.1,-10.1,Default_Mode
-18.2,19,-21,Subcortical_Cerebellum
-5.8,18.2,-21.6,Subcortical_Cerebellum
-8.2,39.7,-21.4,Medial_Frontal
-6.9,48.3,-5.7,Default_Mode
-18.2,57,-14.3,Frontoparietal
-6,48.1,11.7,Medial_Frontal
-11.7,65.1,4.2,Default_Mode
-29.2,54.3,2.5,Frontoparietal
-42.7,47.3,-6.9,Frontoparietal
-28.8,50.1,21.7,Subcortical_Cerebellum
-10.1,55.7,30.2,Medial_Frontal
-27.3,34.1,36.4,Subcortical_Cerebellum
-46.1,28.2,26.8,Frontoparietal
-11.2,34.3,51.5,Medial_Frontal
-39.3,17.2,46.7,Medial_Frontal
-5,17.7,46.1,Medial_Frontal
-46.2,28.2,-7.1,Medial_Frontal
-28.4,36,-15.6,Subcortical_Cerebellum
-32,20.5,-16,Medial_Frontal
-43,42,11,Frontoparietal
-32.5,22.1,5.8,Subcortical_Cerebellum
-53.1,18.4,10.6,Medial_Frontal
-46.2,7.9,28.6,Frontoparietal
-41.6,-14.7,44.8,Motor
-58.1,-5.6,27.2,Motor
-16.2,-19.2,69.5,Motor
-6.5,-4.3,47.6,Motor
-9.1,0.4,66.5,Medial_Frontal
-57,-3.4,6.8,Motor
-23.2,10.7,53.6,Frontoparietal
-45.8,-0.4,49.3,Medial_Frontal
-27.6,-9.1,55.9,Motor
-35.9,-23.3,65.6,Motor
-39.1,1.7,9.5,Motor
-38.7,8.1,-4.8,Subcortical_Cerebellum
-37.7,-12.9,-1.4,Motor
-50.6,-23.8,41.4,Motor
-23.5,-31.6,63.6,Motor
-41.2,-15.6,14.5,Motor
-7.4,-34.1,67.5,Motor
-25.4,-54.7,64,Visual_Association
-9.5,-71,31.9,Visual_1
-28.4,-62.3,40.4,Visual_Association
-9.8,-66.3,55.1,Subcortical_Cerebellum
-35.7,-39.3,47.7,Motor
-42.2,-31.2,15.9,Motor
-59.5,-25.9,21.9,Motor
-42,-65.6,41.7,Frontoparietal
-51.4,-56.3,20.5,Medial_Frontal
-53.4,-43.5,38.8,Frontoparietal
-38,6.1,-37.9,Medial_Frontal
-34.6,18.6,-32.2,Medial_Frontal
-49.5,11.1,-30.6,Medial_Frontal
-49.7,6.4,-15.2,Motor
-22.9,9,-38.8,Motor
-57.6,-6.4,-22.7,Medial_Frontal
-59,-30,3.5,Motor
-57.8,-47.5,5.2,Medial_Frontal
-59.8,-27.4,-18.1,Frontoparietal
-49.3,-4.7,-37.4,Medial_Frontal
-37.8,-13.2,-29.3,Motor
-51.8,-18.2,-28.8,Frontoparietal
-57,-14.5,-6.9,Motor
-26.7,-42.7,-16.1,Visual_1
-60.3,-50,-14,Frontoparietal
-42.6,-52.1,-17.4,Visual_Association
-46.7,-40,-24.3,Visual_Association
-30,-5.8,-40.9,Motor
-41.2,-75.4,22.8,Default_Mode
-31.6,-87.2,12.5,Visual_Association
-17,-50.7,0.8,Visual_1
-43.2,-70.4,-13.8,Visual_Association
-25.9,-63.1,-12.3,Visual_1
-16.8,-84.9,33,Visual_1
-48.3,-67.4,1.1,Visual_Association
-36,-84.2,-3.9,Visual_Association
-8.9,-70.7,-1.7,Visual_1
-10.8,-98.1,7.6,Visual_2
-14.7,-84,-13.1,Visual_2
-22.3,-96.6,-10.1,Visual_2
-6,-81.2,12.2,Visual_1
-22.1,-66.7,7.4,Visual_1
-23.6,-41.3,19.9,Subcortical_Cerebellum
-7.8,-22.4,46,Motor
-6,34.1,26.3,Medial_Frontal
-3.8,-5,32.6,Subcortical_Cerebellum
-5.1,13.2,28.7,Subcortical_Cerebellum
-8.6,-58.8,17.6,Default_Mode
-5,-36,32,Default_Mode
-7.4,-18.2,30,Subcortical_Cerebellum
-6.5,-53.9,37.4,Default_Mode
-8.8,-42.6,50.1,Subcortical_Cerebellum
-7.5,-42.1,13.3,Default_Mode
-26.8,2.4,-18.7,Motor
-21.5,-36.9,5.7,Subcortical_Cerebellum
-32.1,-40.2,-4,Subcortical_Cerebellum
-22.7,-12.8,-17.4,Subcortical_Cerebellum
-35.7,-24.8,-14.9,Subcortical_Cerebellum
-20.7,-30.8,-11.1,Subcortical_Cerebellum
-30.5,-23.9,-26.6,Subcortical_Cerebellum
-21.4,-4.1,-29.4,Motor
-6.5,-66.2,-37.7,Subcortical_Cerebellum
-8.7,-50.6,-39.6,Subcortical_Cerebellum
-37,-52.9,-31.1,Subcortical_Cerebellum
-8.7,-55.2,-52.1,Default_Mode
-21.2,-70,-48.9,Visual_Association
-40.3,-74.2,-29.1,Visual_2
-30.2,-80.2,-40.3,Frontoparietal
-19.3,-46.4,-53.2,Subcortical_Cerebellum
-6.5,-50.2,-11.4,Subcortical_Cerebellum
-27.8,-36,-30.9,Subcortical_Cerebellum
-42.6,-63.7,-46.3,Frontoparietal
-10.3,-81.7,-32.3,Frontoparietal
-8,-68.4,-19.9,Subcortical_Cerebellum
-34.6,-50.3,-54,Subcortical_Cerebellum
-22.7,-57.9,-48.8,Subcortical_Cerebellum
-10.3,-37.7,-25.1,Subcortical_Cerebellum
-46.4,-46.8,-42.9,Subcortical_Cerebellum
-26.3,-69.5,-30.6,Subcortical_Cerebellum
-21.2,-53.4,-23.6,Subcortical_Cerebellum
-6.6,-54.7,-26.3,Subcortical_Cerebellum
-24.3,-37.8,-44.3,Subcortical_Cerebellum
-10.8,23.9,9.6,Subcortical_Cerebellum
-12.5,11.6,8.7,Subcortical_Cerebellum
-10.4,10.9,-8.1,Subcortical_Cerebellum
-14.6,-3.5,21.1,Subcortical_Cerebellum
-24.8,5.6,-0.1,Subcortical_Cerebellum
-9.6,-25.4,-1.4,Subcortical_Cerebellum
-4.9,-10.3,5.8,Subcortical_Cerebellum
-11.6,-25.6,14.8,Subcortical_Cerebellum
-5,-21.5,-15.8,Subcortical_Cerebellum
-4.5,-38,-53.1,Subcortical_Cerebellum
-7.2,-33,-39.4,Subcortical_Cerebellum
-6.1,-18.9,-36.8,Subcortical_Cerebellum
